station_id,source_year,example_local_path
717080-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71708099999.csv
717130-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71713099999.csv
717140-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71714099999.csv
717160-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71716099999.csv
717180-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71718099999.csv
717190-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71719099999.csv
717200-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71720099999.csv
717210-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71721099999.csv
717230-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71723099999.csv
717240-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71724099999.csv
717270-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71727099999.csv
717280-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71728099999.csv
717300-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71730099999.csv
717330-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71733099999.csv
717360-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71736099999.csv
717365-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71736599999.csv
